"","HostCode","Date","SiteCode","SpeciesCode","CollectionCode","Lifestage","Dissector","DissectionCondition","GosnerStage","TarichaLarvaeStage","SVL","TailLength","TotalLength","Malformed","Sex","collDate","visit","SecYr","tot.para","BDinf","aveZE","Alaria","Cephalogonimus","Echinostoma","Gorgoderid_Metacercaria","Gyrinicola_batrachiensis","Manodistomum_syntomentera","Megalobatrachonema_moraveci","Nematode","Oxyurid","Ribeiroia_ondatrae","Nyctotherus","Opalina","Tritrichomonas"
"1","PRNTH4_20170513_PSRE_001",20170513,"PRNTH4","PSRE","PRNTH4_20170513","Larva","CM","Freshly Euthanized",40,"",4.58,27.44,32.02,"N","Unknown","2017-05-13",2,NA,2,1,2.746581227,0,0,0,0,0,0,0,0,0,0,1,1,0
"2","PRPND015_20170328_PSRE_015",20170328,"PRPND015","PSRE","PRPND015_20170328","Larva","DC","Freshly Euthanized",26,"",5.13,6.44,11.57,"N","Unknown","2017-03-28",1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"3","PRNTHMIT_20170607_PSRE_102",20170607,"PRNTHMIT","PSRE","PRNTHMIT_20170607","Larva","CM","Freshly Euthanized",26,"",5.29,5.76,11.05,"N","Unknown","2017-06-07",3,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"4","PRPND014_20170327_PSRE_113",20170327,"PRPND014","PSRE","PRPND014_20170327","Larva","DC","Dead on Arrival",26,"",5.41,6.78,12.19,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","PRNTH1_20170328_PSRE_001",20170328,"PRNTH1","PSRE","PRNTH1_20170328","Larva","DC","Freshly Euthanized",26,"",5.42,7.15,12.57,"N","Unknown","2017-03-28",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","PRNTHIDK_20170513_PSRE_005",20170513,"PRNTHIDK","PSRE","PRNTHIDK_20170513","Larva","CM","Freshly Euthanized",29,"",5.45,6.58,12.03,"N","Unknown","2017-05-13",2,NA,4,0,0,0,0,2,0,3,0,0,0,0,0,1,1,0
"7","PRNTHIDK_20170513_PSRE_006",20170513,"PRNTHIDK","PSRE","PRNTHIDK_20170513","Larva","CM","Freshly Euthanized",26,"",5.6,6.79,12.39,"N","Unknown","2017-05-13",2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","PRPND015_20170328_PSRE_009",20170328,"PRPND015","PSRE","PRPND015_20170328","Larva","DC","Freshly Euthanized",26,"",5.74,6.06,11.8,"N","Unknown","2017-03-28",1,NA,1,1,41.84792,0,0,0,0,0,0,0,0,0,0,0,1,0
"9","PRPND015_20170328_PSRE_013",20170328,"PRPND015","PSRE","PRPND015_20170328","Larva","DC","Freshly Euthanized",26,"",5.94,10.09,16.03,"N","Unknown","2017-03-28",1,NA,1,1,3.05653392,0,0,0,0,0,0,0,0,0,0,1,0,0
"10","PRNTHMIT_20170607_PSRE_108",20170607,"PRNTHMIT","PSRE","PRNTHMIT_20170607","Larva","CM","Dead on Arrival (Decomposed)",26,"",5.95,7.97,13.92,"N","Unknown","2017-06-07",3,NA,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"11","PRNTHIDK_20170513_PSRE_010",20170513,"PRNTHIDK","PSRE","PRNTHIDK_20170513","Larva","CM","Dead on Arrival",30,"",6.2,5.59,11.79,"N","Unknown","2017-05-13",2,NA,0,0,0.019541067,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","PRNTHMIT_20170607_PSRE_105",20170607,"PRNTHMIT","PSRE","PRNTHMIT_20170607","Larva","CM","Freshly Euthanized",26,"",6.28,4.74,11.02,"N","Unknown","2017-06-07",3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","PRPND015_20170328_PSRE_008",20170328,"PRPND015","PSRE","PRPND015_20170328","Larva","DC","Freshly Euthanized",26,"",6.34,9.3,15.64,"N","Unknown","2017-03-28",1,NA,2,1,10.23833088,0,0,0,0,0,0,0,0,0,0,1,1,0
"14","PRNTHMIT_20170607_PSRE_107",20170607,"PRNTHMIT","PSRE","PRNTHMIT_20170607","Larva","CM","Freshly Euthanized",28,"",6.52,12.15,18.67,"N","Unknown","2017-06-07",3,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"15","PRPND015_20170328_PSRE_011",20170328,"PRPND015","PSRE","PRPND015_20170328","Larva","DC","Freshly Euthanized",26,"",6.59,8.33,14.92,"N","Unknown","2017-03-28",1,NA,3,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0
"16","PRPND014_20170327_PSRE_006",20170327,"PRPND014","PSRE","PRPND014_20170327","Larva","DC","Freshly Euthanized",26,"",6.74,8.85,15.59,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","PRPND015_20170328_PSRE_003",20170328,"PRPND015","PSRE","PRPND015_20170328","Larva","DC","Freshly Euthanized",26,"",6.95,9.82,16.77,"N","Unknown","2017-03-28",1,NA,2,1,4.797630892,0,0,0,0,0,0,0,0,3,0,0,1,0
"18","PRPND015_20170328_PSRE_012",20170328,"PRPND015","PSRE","PRPND015_20170328","Larva","DC","Freshly Euthanized",26,"",7.03,10.56,17.59,"N","Unknown","2017-03-28",1,NA,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
"19","PRNTHIDK_20170513_PSRE_004",20170513,"PRNTHIDK","PSRE","PRNTHIDK_20170513","Larva","CM","Freshly Euthanized",29,"",7.17,6.32,13.49,"Y","Unknown","2017-05-13",2,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
